2,2
8,8
25,25
18,18
6,6
18,18
20,20
7,7
21,21
19,19
6,6
15,15
12,12
6,3
8,8
25,25
14,14
7,7
0,0
11,11
21,21
9,9
9,9
20,20
1,1
22,22
12,12
2,2
9,9
3,3
17,17
13,13
18,18
22,22
24,24
5,5
12,12
5,5
10,10
14,14
18,18
24,24
16,16
19,19
13,13
0,0
12,12
19,19
4,4
15,15
4,4
12,12
2,2
6,6
0,0
17,17
4,4
13,13
0,0
3,3
1,1
25,25
20,20
17,17
20,21
17,17
2,2
21,21
25,25
12,12
12,12
12,12
1,1
13,13
15,15
16,16
25,25
22,22
18,18
20,20
9,9
12,12
10,10
4,4
18,18
3,3
19,19
9,9
18,18
2,2
10,10
11,11
20,20
17,17
21,21
12,12
11,11
22,22
7,7
12,12
10,10
25,25
23,23
21,21
14,14
14,14
21,21
8,8
18,18
15,15
7,7
2,2
22,22
5,5
24,24
7,7
16,16
12,12
23,23
22,22
24,24
10,10
4,4
21,21
19,19
25,25
13,13
4,4
11,11
24,24
12,12
8,8
24,24
9,9
2,2
5,5
3,3
23,23
9,9
2,2
5,5
10,10
12,12
2,2
10,10
6,6
18,18
5,5
9,9
23,23
9,9
5,5
0,0
16,16
1,1
19,19
5,5
11,11
23,23
1,1
25,25
15,15
5,5
19,19
9,9
17,17
15,15
18,18
3,3
0,0
13,13
2,2
21,21
13,13
0,4
9,9
0,0
24,24
20,20
13,13
19,19
24,24
3,3
17,17
17,17
18,18
1,1
24,24
9,9
16,16
15,15
8,8
10,10
12,22
8,8
9,9
17,17
23,23
15,15
24,24
18,18
10,10
7,7
11,11
3,3
7,7
8,8
20,20
20,17
18,18
20,20
18,18
11,11
21,21
3,3
17,17
8,8
19,19
22,22
14,14
20,20
12,12
18,18
15,15
10,10
6,6
15,15
21,21
17,17
17,17
3,3
17,20
3,3
3,3
5,5
12,12
4,4
14,14
2,2
20,21
11,11
21,17
9,9
19,19
3,3
19,19
22,22
10,10
11,11
2,0
12,12
16,16
16,16
3,3
25,25
6,6
22,22
19,19
21,21
15,15
20,20
5,5
11,11
25,25
17,17
23,23
7,7
6,6
18,18
6,3
3,3
2,2
3,3
5,5
17,17
6,3
9,9
15,15
6,6
7,7
4,4
2,2
22,22
20,17
24,24
17,17
25,25
1,1
7,7
21,21
24,24
2,2
24,24
16,16
16,16
23,23
16,16
21,21
12,12
15,15
7,7
14,14
1,1
8,8
0,0
5,5
8,8
16,16
5,5
11,11
17,17
0,0
15,15
22,22
8,8
4,4
0,0
23,23
8,8
19,19
1,1
14,14
17,20
9,9
7,7
21,21
3,3
16,16
10,10
10,10
10,10
7,17
7,7
24,24
12,12
7,7
5,5
22,22
3,3
16,16
19,19
13,13
16,16
13,13
7,7
14,14
20,20
25,25
5,5
22,22
25,25
18,18
20,20
20,20
17,17
22,22
23,23
14,14
2,2
8,8
3,3
18,18
19,19
0,0
4,4
13,13
4,4
24,24
14,14
25,25
8,8
0,0
10,10
11,11
19,19
10,10
8,8
13,13
7,7
5,5
20,20
12,12
16,16
17,17
5,5
17,17
6,6
17,17
2,2
11,11
15,15
9,9
6,6
18,18
1,1
5,5
7,7
21,21
20,20
14,2
22,22
21,21
7,7
12,12
23,23
14,14
1,1
22,22
23,23
8,8
13,13
6,6
20,20
21,21
19,19
10,10
22,22
14,14
18,18
18,18
0,0
17,17
15,15
18,18
11,11
17,17
20,20
16,16
2,2
22,22
17,17
13,13
5,5
6,6
23,23
11,11
12,12
24,24
14,14
9,9
19,19
21,21
11,11
15,15
9,9
3,3
22,22
20,20
22,22
12,12
2,16
16,16
23,23
18,18
10,10
23,23
22,22
7,7
14,0
5,5
21,21
17,17
6,6
21,20
12,12
13,13
3,3
19,19
9,9
21,21
24,24
23,23
20,20
17,17
16,16
21,21
23,23
25,25
14,14
3,3
23,23
23,23
21,21
6,6
17,21
21,21
8,8
22,22
3,3
5,5
18,18
18,18
2,2
24,24
12,12
1,1
5,5
22,22
10,10
14,14
24,24
9,9
12,12
17,17
7,7
16,16
17,17
15,15
0,18
6,6
23,23
20,21
19,19
6,6
14,14
0,0
12,22
9,9
2,2
22,12
24,24
18,18
24,24
21,21
0,0
3,3
20,20
18,18
6,6
8,8
13,13
18,18
3,3
2,19
17,17
13,13
3,3
17,17
20,20
15,15
19,19
23,23
4,4
23,23
25,25
4,4
19,19
19,19
4,4
19,19
16,16
3,3
14,14
21,21
19,19
12,12
4,4
23,23
17,20
6,6
18,18
1,1
5,5
9,9
1,1
11,11
19,19
10,10
1,1
23,23
15,15
22,22
23,23
0,18
17,20
19,19
16,16
1,1
14,14
11,11
19,19
19,19
6,6
18,18
18,18
7,7
9,9
12,12
11,11
10,10
6,6
15,15
23,23
4,0
10,10
20,20
5,5
16,16
5,5
22,22
23,23
6,6
13,13
9,9
16,16
12,12
15,15
18,18
2,2
25,25
4,4
1,1
3,6
13,13
4,4
3,3
25,25
17,17
6,6
19,19
22,22
9,9
24,24
20,20
16,16
13,13
3,3
5,5
13,13
9,9
8,8
17,17
12,12
1,1
1,1
14,0
21,17
0,0
6,6
22,22
5,5
2,2
19,19
17,17
2,2
24,24
14,14
2,2
2,2
13,13
14,14
14,14
4,4
1,1
25,25
3,6
9,9
14,14
0,0
6,6
6,6
4,4
0,0
6,6
17,17
14,14
14,14
19,19
17,17
20,20
4,4
18,18
8,8
21,21
17,17
9,9
3,3
9,9
20,20
17,7
16,16
15,15
4,4
1,1
13,13
20,17
16,16
2,2
19,19
1,1
7,7
5,5
8,8
24,24
24,24
17,17
19,19
20,17
1,1
21,7
0,0
1,1
10,10
20,20
14,14
13,13
19,19
22,22
18,18
9,9
9,9
17,17
12,12
3,3
13,17
4,4
20,17
18,18
12,12
1,1
5,5
4,4
24,24
3,3
5,5
5,5
9,9
19,19
23,23
20,20
25,25
11,11
12,12
18,18
23,23
5,5
19,19
20,20
19,19
11,11
11,11
16,16
6,6
19,19
14,14
11,11
14,14
4,4
14,14
18,18
25,25
18,18
24,24
16,16
18,18
2,2
6,6
14,14
12,12
18,18
9,9
22,22
8,8
17,17
15,15
16,16
4,4
24,24
25,25
5,5
17,17
2,2
5,5
24,24
24,24
13,13
7,7
8,8
12,12
8,8
22,22
25,25
0,0
22,22
21,21
10,10
3,3
12,12
5,5
0,14
21,21
17,17
20,20
6,6
5,5
17,17
23,23
21,21
13,13
18,18
