SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0375, 15, 0.04405180, 0.01106992, 0.98274589, -1.57858181, 2.41709042, 0.03139725, 0.00000000, 0.00000000, 0.00000000, -179.35620117, 1.82572234, 140.83517456, 0.01312708, -0.33519930, -0.94199580, 0.01063271, -0.01219233, 0.00016163, 0.01668328, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, 0.04646730, 0.01106599, 0.98520052, -1.57510436, 2.07234764, -0.38878775, 0.00000000, 0.00000000, 0.00000000, -179.36010742, 1.82053101, 140.83609009, 0.01309592, -0.33519134, -0.94199961, 0.01058530, -0.01469840, 0.00009741, 0.01423234, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, 0.04501186, 0.00910942, 0.98615289, -1.43091822, 1.86714756, -0.73680115, 0.00000000, 0.00000000, 0.00000000, -179.36363220, 1.81584311, 140.83787537, 0.01306785, -0.33517620, -0.94200587, 0.01054245, -0.01332474, 0.00199261, 0.01328319, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, 0.04501370, 0.00520252, 0.98954219, -1.14582908, 1.73181117, -1.01296496, 0.00000000, 0.00000000, 0.00000000, -179.36640930, 1.81148589, 140.84036255, 0.01304040, -0.33515543, -0.94201404, 0.01050652, -0.01340259, 0.00585094, 0.00989687, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0725, 19, 0.02490271, -0.00574949, 1.01075387, -1.44790220, 2.54202151, 1.77786815, 0.00000000, 0.00000000, 0.00000000, -179.43096924, 1.75174189, 140.82298279, 0.01273655, -0.33529133, -0.94197738, 0.00980313, 0.00566618, 0.01567724, -0.01127052, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 20, 0.02391480, -0.00332209, 1.00978434, -1.44632018, 2.12455583, 1.70617330, 0.00000000, 0.00000000, 0.00000000, -179.43472290, 1.74647319, 140.81864929, 0.01270383, -0.33532646, -0.94196582, 0.00975739, 0.00656218, 0.01318449, -0.01029748, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0775, 21, 0.02441741, -0.00233062, 1.00735819, -1.79730141, 1.56696630, 1.48989677, 0.00000000, 0.00000000, 0.00000000, -179.43931580, 1.74259269, 140.81489563, 0.01268510, -0.33535689, -0.94195569, 0.00970858, 0.00599187, 0.01211267, -0.00786847, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 22, 0.02345121, -0.00232905, 1.00637639, -2.07788348, 1.28909838, 1.20602846, 0.00000000, 0.00000000, 0.00000000, -179.44461060, 1.73939967, 140.81182861, 0.01267407, -0.33538142, -0.94194776, 0.00965612, 0.00690237, 0.01201888, -0.00688410, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0825, 23, 0.02397588, -0.00327459, 1.00345349, -2.35891318, 0.87065458, 1.06104088, 0.00000000, 0.00000000, 0.00000000, -179.45059204, 1.73724878, 140.80915833, 0.01267366, -0.33540276, -0.94194072, 0.00960098, 0.00634018, 0.01286014, -0.00395912, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 24, 0.02744037, -0.00565842, 1.00054705, -2.63997269, 0.31224385, 0.98517179, 0.00000000, 0.00000000, 0.00000000, -179.45726013, 1.73649180, 140.80668640, 0.01268677, -0.33542234, -0.94193417, 0.00954417, 0.00286248, 0.01512753, -0.00105107, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0875, 25, 0.02793358, -0.00467426, 0.99909490, -2.92119646, -0.03652070, 0.84050649, 0.00000000, 0.00000000, 0.00000000, -179.46463013, 1.73660266, 140.80459595, 0.01270907, -0.33543879, -0.94192851, 0.00948417, 0.00237121, 0.01401486, 0.00040215, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 26, 0.02793358, -0.00467426, 0.99909490, -2.92119646, -0.03652070, 0.84050649, 0.00000000, 0.00000000, 0.00000000, -179.47200012, 1.73671365, 140.80249023, 0.01273137, -0.33545527, -0.94192296, 0.00942418, 0.00237314, 0.01388634, 0.00040334, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0925, 27, 0.03333333, -0.00315067, 0.99427581, -3.06305432, -0.66747004, 1.18465519, 0.00000000, 0.00000000, 0.00000000, -179.47973633, 1.73840940, 140.79953003, 0.01276775, -0.33547860, -0.94191474, 0.00936579, -0.00299703, 0.01222761, 0.00522274, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0950, 28, 0.03333333, -0.00315067, 0.99427581, -3.06305432, -0.66747004, 1.18465519, 0.00000000, 0.00000000, 0.00000000, -179.48748779, 1.74010479, 140.79660034, 0.01280412, -0.33550194, -0.94190651, 0.00930740, -0.00296745, 0.01209246, 0.00522304, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0975, 29, 0.03426369, 0.00561362, 0.99091882, -3.13599062, -1.09081161, 1.73994005, 0.00000000, 0.00000000, 0.00000000, -179.49546814, 1.74287021, 140.79226685, 0.01284985, -0.33553663, -0.94189411, 0.00925046, -0.00384956, 0.00318909, 0.00857973, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 30, 0.03426369, 0.00561362, 0.99091882, -3.13599062, -1.09081161, 1.73994005, 0.00000000, 0.00000000, 0.00000000, -179.50343323, 1.74563515, 140.78791809, 0.01289557, -0.33557132, -0.94188172, 0.00919351, -0.00380133, 0.00305001, 0.00857955, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1025, 31, 0.03814254, 0.01196930, 0.98757321, -2.78535318, -1.16337776, 2.30213070, 0.00000000, 0.00000000, 0.00000000, -179.51057434, 1.74859309, 140.78219604, 0.01294033, -0.33561760, -0.94186509, 0.00914415, -0.00762858, -0.00343020, 0.01192462, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1050, 32, 0.03814254, 0.01196930, 0.98757321, -2.78535318, -1.16337776, 2.30213070, 0.00000000, 0.00000000, 0.00000000, -179.51770020, 1.75155020, 140.77645874, 0.01298509, -0.33566388, -0.94184846, 0.00909478, -0.00757699, -0.00355474, 0.01192409, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1075, 33, 0.03666392, 0.01683427, 0.98466396, -2.14647675, -1.29673088, 2.03037977, 0.00000000, 0.00000000, 0.00000000, -179.52323914, 1.75483465, 140.77140808, 0.01302786, -0.33570474, -0.94183362, 0.00905960, -0.00604108, -0.00851603, 0.01483244, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 34, 0.03908556, 0.01878927, 0.98469347, -1.79076457, -1.08205724, 1.61718392, 0.00000000, 0.00000000, 0.00000000, -179.50967407, 1.77264905, 140.76779175, 0.01313425, -0.33573589, -0.94181949, 0.00922367, -0.00815194, -0.01023448, 0.01479137, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 35, 0.03704694, 0.01480148, 0.99731970, -0.51972842, 0.46045810, 1.36110532, 0.00000000, 0.00000000, 0.00000000, -179.51896667, 1.77635849, 140.75480652, 0.01319091, -0.33584145, -0.94178164, 0.00915969, -0.00604861, -0.00640873, 0.00216448, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1225, 36, 0.03503900, 0.01425734, 1.00363219, -0.45235893, 1.22549868, 1.57481778, 0.00000000, 0.00000000, 0.00000000, -179.52020264, 1.77332783, 140.75083923, 0.01316936, -0.33587393, -0.94177055, 0.00914096, -0.00409354, -0.00588645, -0.00414622, 0.00000000, 0.00000000, 0.00000000, 0.00000000
