SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0375, 15, 0.34071583, 0.01520826, 0.92427748, -5.67215347, 3.30993795, -3.54044414, 0.00000000, 0.00000000, 0.00000000, -179.29440308, 21.96493340, -144.55191040, -0.18330273, -0.29773459, 0.93542796, 0.05223770, 0.03332311, -0.00378635, 0.00306517, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 16, 0.33834341, 0.00987171, 0.92228293, -5.67237759, 3.23965001, -3.47100353, 0.00000000, 0.00000000, 0.00000000, -179.30511475, 21.95672989, -144.54266357, -0.18320371, -0.29783180, 0.93541193, 0.05231854, 0.03556273, 0.00137730, 0.00511545, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0425, 17, 0.33447790, 0.00254936, 0.92513663, -5.60357571, 2.88738942, -2.98339391, 0.00000000, 0.00000000, 0.00000000, -179.31616211, 21.94942093, -144.53471375, -0.18311180, -0.29791841, 0.93539768, 0.05240221, 0.03930996, 0.00852158, 0.00231153, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0450, 18, 0.33101305, 0.00444436, 0.92852765, -5.95973539, 2.53214025, -2.43131709, 0.00000000, 0.00000000, 0.00000000, -179.32862854, 21.94301605, -144.52822876, -0.18302417, -0.29799473, 0.93538523, 0.05249766, 0.04267115, 0.00642504, -0.00103539, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0475, 19, 0.34084210, 0.00162727, 0.92372203, -6.24182463, 2.04219127, -2.36733937, 0.00000000, 0.00000000, 0.00000000, -179.34188843, 21.93784523, -144.52194214, -0.18294461, -0.29807025, 0.93537074, 0.05260230, 0.03275833, 0.00902811, 0.00380647, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 20, 0.35399529, 0.00364537, 0.92383838, -5.81369877, 1.21024835, -2.57519603, 0.00000000, 0.00000000, 0.00000000, -179.35383606, 21.93474770, -144.51502991, -0.18288507, -0.29814741, 0.93535215, 0.05270279, 0.01955498, 0.00681670, 0.00371260, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0525, 21, 0.35877600, 0.01190360, 0.92635429, -5.31662130, 0.72588015, -2.64103484, 0.00000000, 0.00000000, 0.00000000, -179.36447144, 21.93286133, -144.50791931, -0.18283871, -0.29822335, 0.93533170, 0.05279602, 0.01474369, -0.00161366, 0.00121087, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 22, 0.35872936, 0.01235588, 0.93073958, -5.31500912, 0.44838139, -2.78184795, 0.00000000, 0.00000000, 0.00000000, -179.37496948, 21.93165779, -144.50042725, -0.18279819, -0.29830185, 0.93530935, 0.05289048, 0.01477090, -0.00223572, -0.00316483, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0575, 23, 0.35870373, 0.00940470, 0.93608177, -5.73868799, 0.58718598, -2.99578643, 0.00000000, 0.00000000, 0.00000000, -179.38630676, 21.93011093, -144.49238586, -0.18275233, -0.29838654, 0.93528557, 0.05299181, 0.01477150, 0.00053203, -0.00849492, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 24, 0.35865927, 0.01278989, 0.93755978, -5.81025124, 0.72553867, -2.92626238, 0.00000000, 0.00000000, 0.00000000, -179.39788818, 21.92822456, -144.48451233, -0.18270309, -0.29847026, 0.93526268, 0.05309397, 0.01478541, -0.00304064, -0.00995845, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0625, 25, 0.35668164, 0.01520059, 0.93804324, -5.66761637, 1.07777143, -3.27169943, 0.00000000, 0.00000000, 0.00000000, -179.40878296, 21.92543983, -144.47573853, -0.18264797, -0.29856086, 0.93523914, 0.05318956, 0.01671797, -0.00562743, -0.01042211, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0725, 26, 0.36305273, 0.01086408, 0.93904650, -4.88500214, 0.59864277, -3.75258255, 0.00000000, 0.00000000, 0.00000000, -179.44395447, 21.91647148, -144.43479919, -0.18246402, -0.29895580, 0.93513006, 0.05351821, 0.01020163, -0.00185971, -0.01136106, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 27, 0.36301729, 0.01376777, 0.94003516, -4.95604372, 0.24802424, -3.54578853, 0.00000000, 0.00000000, 0.00000000, -179.45277405, 21.91575813, -144.42526245, -0.18243077, -0.29904816, 0.93510216, 0.05360359, 0.01022557, -0.00490626, -0.01234389, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0775, 28, 0.36544183, 0.01328233, 0.94200039, -5.09700537, -0.10177343, -3.47940111, 0.00000000, 0.00000000, 0.00000000, -179.46202087, 21.91593552, -144.41587830, -0.18240365, -0.29913932, 0.93507308, 0.05369439, 0.00780386, -0.00457048, -0.01430869, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 29, 0.36786780, 0.01475217, 0.94202745, -5.02430868, -0.79816782, -3.48173904, 0.00000000, 0.00000000, 0.00000000, -179.47106934, 21.91784859, -144.40647888, -0.18239124, -0.29922941, 0.93504125, 0.05378824, 0.00540888, -0.00618697, -0.01434690, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0825, 30, 0.37176549, 0.01477146, 0.94254595, -5.09518480, -1.35843253, -3.20614839, 0.00000000, 0.00000000, 0.00000000, -179.48056030, 21.92117310, -144.39779663, -0.18238945, -0.29931352, 0.93500894, 0.05388829, 0.00156501, -0.00636027, -0.01488561, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 31, 0.37223050, 0.01573369, 0.94401568, -4.95237207, -2.12532663, -3.06840038, 0.00000000, 0.00000000, 0.00000000, -179.48983765, 21.92641830, -144.38946533, -0.18240407, -0.29939330, 0.93497461, 0.05399098, 0.00118491, -0.00747298, -0.01638824, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0875, 32, 0.37514791, 0.01574360, 0.94501334, -5.02183151, -2.89341116, -2.93330050, 0.00000000, 0.00000000, 0.00000000, -179.49687195, 21.93199348, -144.38043213, -0.18242694, -0.29947522, 0.93493885, 0.05407735, -0.00164220, -0.00759693, -0.01742131, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 33, 0.37368381, 0.01475735, 0.94597059, -5.16385317, -3.31471419, -2.65794826, 0.00000000, 0.00000000, 0.00000000, -179.50708008, 21.94022560, -144.37318420, -0.18246394, -0.29954609, 0.93490219, 0.05419376, -0.00004485, -0.00677636, -0.01843065, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0925, 34, 0.37609965, 0.01524224, 0.94794071, -5.23428154, -3.73440313, -2.52123809, 0.00000000, 0.00000000, 0.00000000, -179.51757812, 21.94950485, -144.36630249, -0.18250889, -0.29961395, 0.93486464, 0.05431489, -0.00231045, -0.00743196, -0.02045995, 0.00000000, 0.00000000, 0.00000000, 0.00000000
