(0.0013302009923835685, -1.7976023083469772, 256.11637064586415, 201.8)	(-0.0033342223385500218, -0.7949406455258636, 219.60417761293195, 274.0)	(-0.00018802215639444385, -1.1815707931393202, 195.30782247559358, 258.2)	(-0.0007792116149513363, -1.0150459134504235, 183.7473408415255, 242.8)	(0.0038180930871640506, -2.1330996390595374, 248.55530657115273, 240.1)	
(0.006726372797137392, -2.7122411502292136, 260.1239604298081, 203.5)	(0.0027716347835650703, -1.947231814588387, 239.66354848972136, 266.7)	(0.006748315028264604, -2.3612141705146144, 205.6326678663513, 253.5)	(0.006841650814720933, -2.2938690854788075, 190.27573304129757, 243.5)	(0.0053841421506615975, -2.3889763182134636, 244.4137656096851, 248.0)	
(0.002735177455056322, -1.98950385388425, 249.79875210341945, 205.9)	(0.0034674205456133055, -1.9452682193275936, 222.2057758537252, 271.7)	(0.0002733488915562761, -1.2822782636723993, 199.8644769740543, 250.9)	(0.0017751984394740233, -1.4585643316032493, 186.95857171807157, 243.7)	(-0.005516304965443648, -0.389982464050359, 214.11400565096227, 242.8)	
(0.0057151473062689835, -2.604586791168429, 268.5447423267593, 200.5)	(-0.0014358564229056967, -1.1820912221648532, 226.88135742274298, 266.7)	(0.005945326699905729, -2.181118908054892, 197.1162020928699, 255.6)	(0.0043683920100084555, -1.917339667038053, 192.99290276023302, 247.2)	(0.006944714280292062, -2.6106626626756686, 240.88408422605633, 241.0)	
(0.005289088232791062, -2.543855883467116, 271.6237135050443, 190.8)	(0.004493832630651311, -2.241455089677854, 244.52723454914295, 255.9)	(0.0008633000002283842, -1.4793472211825747, 212.00359657993545, 246.3)	(0.00198490322346822, -1.5282210928394493, 191.97582942623902, 243.2)	(-0.0006285294892121475, -1.2346161539164613, 219.8055830483256, 248.4)	
(0.003949474892083896, -2.1336958246964906, 240.59324477665717, 208.7)	(0.002139276888473996, -1.629079376750538, 207.3871796303085, 282.8)	(0.002454527737205319, -1.5106914978584365, 178.72734672562962, 264.3)	(0.0028691974111092478, -1.4977098193311678, 165.00096411840033, 253.7)	(0.006206229606901165, -2.3198624158885104, 213.57766899898638, 241.9)	
(0.006694463254076909, -2.6771135534720685, 257.52822835595754, 201.0)	(0.003971162108547113, -2.0439785923593248, 225.83714308246655, 277.0)	(0.004411355004167561, -1.883691374343016, 188.56921563021382, 262.4)	(0.003964119887159434, -1.7268534227723475, 173.01152463733698, 252.9)	(0.005844309708342501, -2.2605766988222777, 214.65771844988282, 238.5)	
(0.004002278728428205, -2.2354170212476268, 256.62288699976506, 204.0)	(-0.0003024875605345556, -1.283734921515759, 217.37945480337748, 278.4)	(0.0008288936100054878, -1.3043882812430438, 187.82609877305913, 261.1)	(-0.001369050387235383, -0.8401800572539438, 170.11417410193997, 251.6)	(0.0026470378870715274, -1.841962103039764, 229.61367311038342, 243.6)	
(0.005492371967427023, -2.5123885013041622, 260.62975160781343, 204.8)	(0.0035646021129815296, -1.8880908146617132, 211.78828995649258, 274.2)	(0.0011258193528678434, -1.4055847197998155, 194.08577938878364, 258.7)	(0.0024493089896480175, -1.4857460047629576, 172.7632349581763, 252.0)	(0.0054431277304104846, -2.3397889112297237, 235.17039361704389, 241.6)	
(0.005545706647483106, -2.497008054080468, 259.21087989688283, 204.8)	(-0.000366168186769559, -1.252669366470173, 215.13943896684916, 278.2)	(0.002446519966872295, -1.5961779289128615, 190.82158474128644, 263.3)	(0.0019733971008596427, -1.428063646925441, 175.96375065749456, 254.4)	(0.005610220650730858, -2.3481543470294444, 233.6610336492885, 246.9)	
(0.00812498004865021, -2.9873843791818007, 267.36274221430074, 202.8)	(0.004647628195885187, -2.18097400744141, 229.41026172972036, 278.4)	(0.005348693093757636, -2.0747108225494117, 195.26739668756574, 260.8)	(0.003374287078023877, -1.7128137039446907, 185.2949864790439, 252.9)	(0.007246896732533417, -2.727121063690513, 248.53575040264536, 246.8)	
(0.0032621956798140144, -2.1401734114053292, 259.5586127528457, 202.9)	(8.995511917317873e-05, -1.4288695497038197, 229.9207281754681, 270.7)	(0.0006958260349883487, -1.385089936399981, 204.11812270382666, 252.7)	(0.0013929520744854237, -1.3967185166522933, 187.10404537028398, 244.1)	(0.005269269290611214, -2.270613910109594, 229.78692438117866, 251.8)	
(0.004304066885692838, -2.2980010217692204, 256.8700725914681, 203.6)	(-0.001968907781501933, -1.051455730073243, 222.44626127661027, 272.7)	(0.0034265164315585455, -1.7817458349586401, 197.34237823991688, 257.8)	(0.003792966739933552, -1.7409533367422838, 179.2570093147317, 250.5)	(0.00527997901257804, -2.33663729103181, 239.60664842602299, 247.9)	
(0.0014094860202500449, -1.754137965979124, 249.4128947010091, 208.1)	(-0.00186671979714513, -1.001426735445594, 217.7737884296111, 274.8)	(-0.0004851757837904137, -1.0850252045140816, 189.87576466840488, 260.1)	(-0.00043321416321295554, -0.9725744961259614, 170.83689753371587, 252.2)	(-0.004794143000398596, -0.5338364860125632, 217.05888863452353, 247.3)	
(0.003378815151164962, -2.1407757996041985, 257.89989759913055, 204.8)	(-0.001456935993799912, -1.158031407704723, 227.52507472960917, 274.0)	(0.0017245707315194049, -1.4687985306856801, 192.87342393299397, 260.8)	(0.001000602013411844, -1.238219851531376, 172.89102681079456, 253.1)	(0.0021674786905110607, -1.7971979215661154, 235.11566912872036, 246.7)	
(0.0017106574533602439, -1.873894925717981, 252.39724093383242, 225.7)	(0.002712939272304322, -1.8620770179041939, 226.63135940445136, 292.3)	(0.004108462161357444, -1.9809860144611464, 208.99865606955083, 258.1)	(0.0035704279007651068, -1.8327335359485957, 198.74680963247377, 248.7)	(0.002119495147976267, -2.1818894883190048, 291.72273558918897, 199.3)	
(0.010650959506491918, -3.2835938642085134, 253.59049413854808, 219.3)	(0.007296666602929602, -2.560991630579318, 225.55388145131695, 292.1)	(0.008153555766581609, -2.6003738882440466, 206.0221918127454, 263.3)	(0.007220366803704788, -2.400368726867738, 197.47680673182026, 248.9)	(0.009648844257527402, -3.25231959901967, 272.60808839463834, 199.7)	
(0.01105877368209969, -3.3457514876504795, 255.43958247540044, 214.8)	(0.008525309680849743, -2.6675754337163085, 214.7646824098005, 294.9)	(0.008615017333115687, -2.649750254608945, 205.1881161718712, 261.2)	(0.00811638229487042, -2.512563184997968, 196.61464145574652, 244.8)	(0.013247894146680957, -3.7366597271511655, 262.70556187015154, 199.1)	
(0.008272514075043206, -2.9001464468058242, 249.25354341022572, 220.0)	(0.003648083794777265, -1.9725066902545545, 221.97659148015828, 293.2)	(0.0060876051736620945, -2.309787493411597, 211.90460078666374, 256.7)	(0.005790466876580597, -2.2035366108690235, 202.32123704888528, 244.0)	(0.0077589825950985895, -2.9466845885513853, 270.27270768447625, 206.3)	
(0.008987527081982924, -3.041178647931754, 253.82099748655645, 218.1)	(0.006818315752926549, -2.5016076185188405, 226.96874516090315, 288.0)	(0.007181206706171584, -2.5019774266953325, 214.98670284689658, 254.4)	(0.006375547122367764, -2.294943228426266, 203.33179912854476, 241.3)	(0.0029946395484600533, -2.202311129909103, 270.5310308293238, 203.9)	
(0.010682887256774642, -3.3796116375234955, 267.84879575425595, 204.3)	(0.007741823036635588, -2.6780956746696307, 232.18813851162668, 283.6)	(0.007580539391499533, -2.5625551486827782, 216.04724444191194, 253.6)	(0.006971274845167277, -2.422705957513479, 208.46052688880195, 240.4)	(0.009577678207974203, -3.1862874233160805, 263.441294134995, 208.6)	
(0.0044139022720420555, -2.3289557539187036, 254.76896574517252, 216.9)	(0.0034149331791570718, -2.0448875061076404, 239.39500070010925, 276.7)	(0.005081548477230191, -2.199875750302295, 220.10089045747196, 247.1)	(0.004990697529532107, -2.1244428466702616, 209.31746199926638, 231.4)	(0.005417737641919894, -2.3738764960726724, 240.99779956327544, 224.4)	
(0.006798582913274081, -2.823689041839173, 274.6951865276715, 206.5)	(0.004324212082031542, -2.237853433285389, 246.78524667533827, 276.3)	(0.00570738323983183, -2.316811443715071, 222.60374124587557, 248.5)	(0.006457589565079577, -2.3858764857464014, 214.44207268477777, 232.7)	(0.002551515374427055, -2.122783494312503, 272.303479765998, 210.8)	
(0.004566189682299271, -2.3523430392859406, 256.6562331994848, 215.5)	(0.0035441915385115274, -1.9901676471140148, 227.85264677153927, 287.1)	(0.004330639065533827, -2.0262617086430623, 213.50287864106272, 251.9)	(0.0054132201628598, -2.169844292527064, 206.1109518921923, 236.3)	(0.007243807658060069, -2.7679692082018024, 257.69851655480284, 204.5)	
(0.008647154165555919, -3.0470403916804814, 262.89108959445576, 213.2)	(0.005647899952880231, -2.288026456026525, 221.13714022101513, 293.1)	(0.005578544631851341, -2.2699042064451938, 218.08291320983489, 251.4)	(0.006790867459896442, -2.4142192081439138, 209.32793682025326, 237.2)	(0.010188304761392897, -3.4185787666315286, 283.2859030045003, 205.9)	
(0.007948995999685059, -2.9072560555835865, 260.1584619845263, 213.2)	(0.005207902673934019, -2.254407474371853, 229.14438286402108, 284.7)	(0.005884095180693631, -2.3100395893955055, 218.31143944924872, 251.4)	(0.006586287561547, -2.351179421345924, 205.89249664699338, 239.6)	(0.008883957530579412, -3.158853992136845, 275.85251259915793, 208.7)	
(0.01053402041078346, -3.261219853078548, 252.25162658745813, 215.3)	(0.008410540888590154, -2.7170073692146053, 222.08264314834884, 290.1)	(0.009100285585250285, -2.80604583239503, 215.91213022919044, 252.6)	(0.009123136730441274, -2.75827931290862, 208.3137017529916, 235.5)	(0.011702620111235082, -3.4497609790127486, 253.3126090274076, 209.6)	
(0.0068248709685951, -2.7624108815117436, 262.3412684784763, 212.2)	(0.005836220114801596, -2.3984333546991112, 234.64670746752998, 281.3)	(0.006762069151479744, -2.4862019000802444, 221.44952509637145, 252.8)	(0.0083058004633317, -2.7129102684364, 219.3876550595559, 233.0)	(0.009562039453239456, -3.2072882072666538, 267.2855374464481, 209.9)	
(0.011142253629719072, -3.4571023914494448, 268.0031482228185, 208.7)	(0.008830891154549528, -2.7996180732550338, 226.9725658707776, 289.4)	(0.008788502277975433, -2.75645325667497, 217.13628601544892, 255.0)	(0.009352154620566573, -2.8139470824765778, 212.29042067902319, 235.5)	(0.014226630957408094, -3.9439592960066756, 267.59399144177627, 210.8)	
(0.008266121219550315, -2.9029320005208037, 252.30869555095754, 211.7)	(0.006597271422808948, -2.450157166557121, 227.27264960872736, 282.9)	(0.0076327851379978705, -2.550198092154586, 213.8325801182273, 249.4)	(0.008537425712189628, -2.6611607768374554, 207.7607981225205, 232.7)	(0.01097379790023989, -3.463827353036887, 273.28279698209616, 211.5)	
(0.007945360908385287, -2.9066211813578904, 260.25492522695725, 212.6)	(0.006942687588530601, -2.504471460499354, 223.46757424005614, 290.8)	(0.007267783033707721, -2.5192204221564567, 216.18374996225464, 256.4)	(0.00811651420895272, -2.633387112432316, 212.25486895723535, 234.6)	(0.010411438163350141, -3.309886604352323, 262.81855293576746, 218.8)	
(0.0055888576911240755, -2.519134540526252, 256.632868591938, 214.6)	(0.003337760307455057, -1.9517424802383376, 225.71187369617832, 287.8)	(0.005172410564873159, -2.203385071534085, 217.21359994859156, 253.6)	(0.006141073338394487, -2.3123997764475064, 211.14843098849542, 233.8)	(0.00815501596490125, -3.004550363286819, 271.9238763794016, 209.1)	
